Date_reported,Global,China,USA,India
1/11/2020,41,41,0,0
1/12/2020,0,0,0,0
1/13/2020,1,0,0,0
1/14/2020,1,0,0,0
1/15/2020,0,0,0,0
1/16/2020,0,0,0,0
1/17/2020,5,4,0,0
1/18/2020,18,17,0,0
1/19/2020,60,59,0,0
1/20/2020,78,77,1,0
1/21/2020,93,93,0,0
1/22/2020,152,152,0,0
1/23/2020,133,131,0,0
1/24/2020,272,261,1,0
1/25/2020,469,462,0,0
1/26/2020,698,688,3,0
1/27/2020,785,776,0,0
1/28/2020,1789,1772,0,0
1/29/2020,1481,1462,0,0
1/30/2020,1760,1741,1,1
1/31/2020,2011,1984,1,0
2/1/2020,2115,2101,1,0
2/2/2020,2597,2590,0,1
2/3/2020,2832,2827,3,1
2/4/2020,3258,3233,0,0
2/5/2020,3914,3892,0,0
2/6/2020,3722,3697,1,0
2/7/2020,3201,3151,0,0
2/8/2020,3413,3387,0,0
2/9/2020,2670,2653,0,0
2/10/2020,3058,2985,0,0
2/11/2020,2482,2472,1,0
2/12/2020,2066,2022,0,0
2/13/2020,15212,15152,2,0
2/14/2020,4068,4050,0,0
2/15/2020,2732,2644,0,0
2/16/2020,2090,2008,0,0
2/17/2020,2161,2051,0,0
2/18/2020,1993,1893,0,0
2/19/2020,1856,1751,0,0
2/20/2020,486,396,0,0
2/21/2020,1044,892,19,0
2/22/2020,1109,825,1,0
2/23/2020,1020,649,0,0
2/24/2020,619,221,18,0
2/25/2020,825,517,0,0
2/26/2020,927,411,6,0
2/27/2020,1376,440,0,0
2/28/2020,1431,329,3,0
2/29/2020,1827,430,0,0
3/1/2020,1880,579,0,0
3/2/2020,2296,206,2,2
3/3/2020,2293,128,44,0
3/4/2020,2197,120,21,22
3/5/2020,2726,143,19,2
3/6/2020,3911,146,65,2
3/7/2020,3809,102,0,3
3/8/2020,3931,46,0,5
3/9/2020,4332,45,259,5
3/10/2020,4460,20,224,6
3/11/2020,6315,31,0,10
3/12/2020,6682,26,291,14
3/13/2020,10153,10,277,7
3/14/2020,11793,30,414,3
3/15/2020,12472,27,36,23
3/16/2020,10749,29,0,7
3/17/2020,15523,39,1822,23
3/18/2020,18365,58,3551,14
3/19/2020,24256,126,3355,44
3/20/2020,32003,116,4777,0
3/21/2020,26069,82,0,88
3/22/2020,1944,1,0,58
3/23/2020,40898,104,16354,93
3/24/2020,51862,164,20341,85
3/25/2020,29810,102,0,87
3/26/2020,54655,92,16420,43
3/27/2020,41366,132,0,75
3/28/2020,62724,120,16894,0
3/29/2020,62705,128,18093,255
3/30/2020,59160,114,19332,92
3/31/2020,57643,90,17987,180
4/1/2020,72471,93,22559,385
4/2/2020,72901,86,24103,329
4/3/2020,75944,78,26298,336
4/4/2020,79908,73,28103,601
4/5/2020,80692,55,32105,472
4/6/2020,77617,75,33510,693
4/7/2020,68465,66,26493,354
4/8/2020,73849,90,29510,853
4/9/2020,82736,88,31709,591
4/10/2020,84635,56,30859,547
4/11/2020,90778,78,35386,1035
4/12/2020,84634,102,31606,909
4/13/2020,77274,112,31633,796
4/14/2020,71545,99,29308,1211
4/15/2020,73220,51,24446,1076
4/16/2020,76794,50,25802,941
4/17/2020,81839,352,28711,1007
4/18/2020,84353,31,32549,991
4/19/2020,78522,43,30023,1334
4/20/2020,70345,16,28252,1553
4/21/2020,83101,14,27668,1336
4/22/2020,72107,35,25634,1383
4/23/2020,72752,15,24019,1409
4/24/2020,80220,9,29127,1684
4/25/2020,89313,12,30719,1429
4/26/2020,85505,14,38509,1990
4/27/2020,87138,3,32417,1396
4/28/2020,73759,6,29218,1543
4/29/2020,66321,22,22541,1897
4/30/2020,72955,4,20517,1718
5/1/2020,85008,12,31379,1993
5/2/2020,90578,6,31774,2293
5/3/2020,83985,2,26753,2644
5/4/2020,85984,8,31839,2553
5/5/2020,82906,3,29266,3900
5/6/2020,70578,2,16200,2958
5/7/2020,83835,3,22267,3561
5/8/2020,88245,6,22119,3390
5/9/2020,94956,1,30303,3320
5/10/2020,63117,14,-99,3277
5/11/2020,87912,20,25870,4213
5/12/2020,84288,1,26642,3604
5/13/2020,81463,7,23767,3525
5/14/2020,79186,6,18044,3722
5/15/2020,89269,5,21424,3967
5/16/2020,86717,9,20840,3970
5/17/2020,100079,6,27090,4987
5/18/2020,94171,10,22813,5242
5/19/2020,93436,6,31967,4970
5/20/2020,78864,5,13227,5611
5/21/2020,103210,2,24417,5609
5/22/2020,91583,13,23310,6088
5/23/2020,109875,2,22787,6654
5/24/2020,100733,3,20475,6767
5/25/2020,100653,11,24151,6977
5/26/2020,99026,7,26158,6535
5/27/2020,85316,1,15253,6387
5/28/2020,104917,3,24886,6566
5/29/2020,108220,0,16362,7466
5/30/2020,112649,18,19606,7964
